comp_id,comp_name,city,state
1,Siemens Healthineers,Kolkata,West Bengal
2,Roche Diagnostics,Mumbai,Maharashtra
3,Abbott Diagnostics,Delhi,Delhi
4,Beckman Coulter,Chennai,Tamil Nadu
5,Thermo Fisher Scientific,Bengaluru,Karnataka
6,Erba Mannheim,Hyderabad,Telangana
7,Agappe Diagnostics,Pune,Maharashtra
8,Tulip Diagnostics,Ahmedabad,Gujarat
9,Transasia Bio-Medicals,Lucknow,Uttar Pradesh
10,Randox Laboratories,Bhubaneswar,Odisha
11,Bio-Rad Laboratories,Patna,Bihar
12,Mindray Medical,Jaipur,Rajasthan
13,Diasys Diagnostics,Guwahati,Assam
14,Span Diagnostics,Chandigarh,Punjab
15,Accurex Biomedical,Nagpur,Maharashtra
