interpretation_id,test_id,range_type
1,1,Low
2,1,Normal
3,1,High
4,2,Low
5,2,Normal
6,2,High
7,3,Low
8,3,Normal
9,3,High
10,4,Low
11,4,Normal
12,4,High
13,5,Low
14,5,Normal
15,5,High
16,6,Low
17,6,Normal
18,6,High
19,7,Low
20,7,Normal
21,7,High
22,8,Low
23,8,Normal
24,8,High
25,9,Low
26,9,Normal
27,9,High
28,10,Low
29,10,Normal
30,10,High
31,11,Low
32,11,Normal
33,11,High
34,12,Low
35,12,Normal
36,12,High
37,13,Low
38,13,Normal
39,13,High
40,14,Low
41,14,Normal
42,14,High
43,15,Low
44,15,Normal
45,15,High
46,16,Low
47,16,Normal
48,16,High
49,17,Low
50,17,Normal
51,17,High
52,18,Low
53,18,Normal
54,18,High
55,19,Low
56,19,Normal
57,19,High
58,20,Low
59,20,Normal
60,20,High
61,21,Low
62,21,Normal
63,21,High
64,22,Low
65,22,Normal
66,22,High
67,23,Low
68,23,Normal
69,23,High
70,24,Low
71,24,Normal
72,24,High
73,25,Low
74,25,Normal
75,25,High
76,26,Low
77,26,Normal
78,26,High
79,27,Low
80,27,Normal
81,27,High
82,28,Low
83,28,Normal
84,28,High
85,29,Low
86,29,Normal
87,29,High
88,30,Low
89,30,Normal
90,30,High
