sale_id,company_id,test_id,product_id,revenue
1,6,26,28,1003.63
2,6,1,1,5747.31
3,14,2,5,15000.34
4,15,2,4,63341.12
5,1,30,27,32120.45
6,2,17,18,11094.65
7,14,25,21,55815.0
8,11,8,11,1803.04
9,2,17,18,20064.95
10,4,16,17,52519.16
11,2,11,7,24403.86
12,13,6,9,32744.31
13,15,17,18,22439.41
14,12,10,13,1753.79
15,10,6,9,27676.23
16,7,27,24,23196.17
17,14,3,6,30097.34
18,11,13,14,15492.26
19,11,3,6,25110.77
20,3,10,13,2382.49
21,2,23,23,69656.11
22,14,18,19,2585.39
23,10,14,15,56981.13
24,13,25,21,71510.99
25,13,10,13,2708.88
26,13,8,11,5784.04
27,8,2,4,46548.73
28,3,2,5,21622.34
29,11,6,9,54792.77
30,11,13,14,17741.16
31,3,10,13,9439.86
32,3,15,16,800.83
33,12,30,27,39874.32
34,8,23,23,78395.0
35,8,11,7,26095.45
36,11,30,27,55957.68
37,13,22,22,4408.91
38,8,16,17,22252.9
39,6,23,23,31208.21
40,5,20,29,2020.16
41,6,11,7,49328.07
42,12,10,13,5544.01
43,5,21,30,37316.19
44,8,2,4,13678.26
45,15,2,4,58443.43
46,14,22,22,9748.74
47,1,16,17,42713.71
48,6,26,28,3048.55
49,15,1,3,14059.16
50,2,6,9,79849.9
51,1,17,18,10814.5
52,15,22,22,21542.87
53,13,26,28,2942.13
54,8,17,18,6471.28
55,13,23,23,24936.59
56,6,7,10,7219.7
57,11,9,12,3813.09
58,14,29,26,39969.94
59,3,24,20,30728.61
60,11,14,15,63019.79
61,6,1,1,22599.49
62,3,28,25,30807.22
63,11,7,10,1726.29
64,13,7,10,8710.77
65,4,30,27,52056.08
66,1,15,16,1925.17
67,13,2,5,4606.87
68,9,26,28,2044.22
69,15,8,11,1678.93
70,5,8,11,757.03
71,13,30,27,53414.74
72,13,3,6,13565.11
73,14,25,21,22968.47
74,14,29,26,38820.6
75,15,29,26,12368.99
76,3,23,23,29822.94
77,11,27,24,20171.58
78,10,28,25,921.32
79,15,9,12,8622.59
80,4,1,3,36651.49
81,8,21,30,6891.84
82,9,3,6,39424.84
83,9,23,23,31264.48
84,5,6,9,71374.92
85,2,8,11,2740.77
86,5,7,10,2641.86
87,13,16,17,53601.53
88,14,22,22,32940.39
89,8,23,23,38519.55
90,9,6,9,52555.29
91,3,12,8,12215.71
92,11,14,15,85312.13
93,13,22,22,26412.22
94,4,26,28,2436.8
95,11,30,27,41124.23
96,11,15,16,2074.64
97,3,6,9,64263.21
98,13,3,6,880.35
99,3,11,7,15815.04
100,3,23,23,9252.68
101,11,21,30,9072.61
102,12,27,24,7837.54
103,10,20,29,4255.56
104,3,14,15,70036.92
105,7,6,9,41117.45
106,6,12,8,13122.0
107,8,13,14,64871.39
108,4,20,29,4769.35
109,5,29,26,6079.81
110,9,17,18,23412.76
111,4,26,28,279.39
112,2,17,18,6020.04
113,15,8,11,2323.59
114,3,25,21,67584.88
115,12,7,10,6945.05
116,6,14,15,41282.59
117,3,29,26,10594.1
118,15,8,11,9523.11
119,14,18,19,4154.9
120,6,7,10,4571.18
121,7,8,11,3496.44
122,7,24,20,23209.5
123,10,15,16,5304.5
124,2,16,17,7323.82
125,10,29,26,20109.65
126,10,22,22,11093.17
127,11,15,16,1459.11
128,3,23,23,14413.31
129,13,22,22,37042.55
130,10,29,26,14927.05
131,13,8,11,674.86
132,4,11,7,41280.16
133,5,7,10,8849.25
134,3,23,23,16183.24
135,10,25,21,7776.12
136,10,2,2,10466.01
137,12,18,19,2054.35
138,13,15,16,4273.67
139,8,26,28,2671.48
140,13,29,26,36268.66
141,14,22,22,14983.75
142,6,27,24,25940.52
143,7,11,7,40836.36
144,11,6,9,17632.68
145,13,7,10,6975.23
146,5,27,24,2335.9
147,11,12,8,7916.99
148,12,11,7,25485.78
149,3,2,2,38837.83
150,4,28,25,11515.93
151,10,13,14,53716.55
152,9,25,21,39455.03
153,13,2,5,24107.22
154,14,10,13,3965.95
155,9,8,11,4099.24
156,10,25,21,44098.28
157,1,13,14,13966.68
158,3,12,8,19196.32
159,12,3,6,26553.11
160,4,23,23,58219.41
161,5,18,19,12653.76
162,3,16,17,35878.39
163,14,16,17,23686.92
164,15,22,22,45410.89
165,4,14,15,45855.88
166,10,28,25,13936.01
167,14,2,5,2333.39
168,6,3,6,17528.97
169,15,2,4,49763.14
170,4,26,28,1470.19
171,6,27,24,23019.52
172,13,25,21,51413.32
173,11,26,28,963.13
174,12,6,9,34732.36
175,13,24,20,34701.19
176,4,21,30,72660.62
177,13,10,13,6838.45
178,15,16,17,34158.27
179,13,11,7,22049.82
180,6,2,2,38135.08
181,10,30,27,58599.01
182,11,23,23,11260.87
183,12,3,6,47665.25
184,14,7,10,4436.63
185,4,6,9,48117.82
186,2,8,11,11882.79
187,15,27,24,2651.12
188,2,2,5,13940.56
189,12,26,28,2769.49
190,14,15,16,4474.88
191,14,22,22,2559.33
192,15,27,24,9619.26
193,13,11,7,13327.6
194,12,2,2,5341.01
195,7,13,14,38484.92
196,3,2,2,1319.19
197,7,12,8,30228.7
198,10,6,9,18474.66
199,4,2,4,40329.91
200,11,22,22,8879.44
201,13,3,6,16475.59
202,15,12,8,5816.82
203,1,29,26,22332.7
204,12,21,30,7916.98
205,3,13,14,18234.08
206,10,16,17,9867.99
207,9,6,9,32218.94
208,11,16,17,43342.26
209,8,1,3,26805.71
210,6,25,21,70835.81
211,8,25,21,40895.65
212,15,3,6,30679.78
213,12,20,29,676.86
214,5,29,26,3886.06
215,12,2,2,24439.87
216,9,6,9,45861.12
217,12,30,27,64921.45
218,1,11,7,54574.76
219,15,13,14,9936.5
220,7,30,27,66683.16
221,12,2,2,52776.61
222,7,12,8,4573.45
223,7,2,4,66076.36
224,11,24,20,15992.7
225,6,9,12,6716.49
226,12,24,20,42671.31
227,14,1,1,8589.53
228,7,24,20,7452.95
229,13,7,10,2701.16
230,3,1,3,25805.44
231,14,20,29,424.6
232,14,10,13,8742.8
233,10,3,6,40034.04
234,9,17,18,10572.64
235,2,1,1,10933.46
236,10,8,11,10871.07
237,10,1,1,13350.26
238,15,7,10,7117.49
239,14,29,26,28527.27
240,3,15,16,2940.7
241,2,12,8,3260.8
242,5,1,3,23504.59
243,12,28,25,2883.18
244,3,24,20,18977.81
245,13,10,13,7193.9
246,5,16,17,9193.82
247,2,1,3,16463.11
248,4,21,30,23374.13
249,13,22,22,23347.89
250,11,29,26,55364.19
251,14,1,3,9852.87
252,14,22,22,35157.22
253,13,21,30,51428.96
254,11,10,13,7246.29
255,7,3,6,19688.43
256,11,1,1,12504.2
257,1,30,27,4505.94
258,4,25,21,20133.51
259,4,1,3,43861.62
260,7,2,5,1592.66
261,14,12,8,23039.2
262,14,28,25,11392.13
263,2,30,27,22785.51
264,3,18,19,10221.12
265,2,1,3,44248.58
266,9,25,21,66065.07
267,13,24,20,16000.83
268,11,26,28,2266.76
269,5,30,27,39169.0
270,10,12,8,22944.51
271,10,1,1,15254.93
272,6,14,15,83255.52
273,12,20,29,795.9
274,9,17,18,11225.23
275,6,9,12,69846.03
276,2,20,29,5304.56
277,12,2,5,5205.41
278,1,22,22,39994.28
279,9,23,23,65378.84
280,8,23,23,48623.73
281,6,17,18,5458.32
282,1,2,4,29212.16
283,6,26,28,4150.87
284,6,2,4,13492.63
285,10,7,10,10830.5
286,12,10,13,7269.66
287,14,6,9,53264.11
288,4,2,2,11602.23
289,6,20,29,1307.91
290,1,27,24,15057.31
291,8,30,27,66758.96
292,2,14,15,48239.13
293,14,9,12,64605.94
294,9,3,6,36696.24
295,6,7,10,2609.04
296,1,14,15,77363.32
297,15,22,22,17721.07
298,15,2,5,14062.99
299,7,21,30,32955.17
300,10,29,26,26743.9
301,8,6,9,15343.98
302,7,3,6,12431.01
303,12,6,9,66982.52
304,7,9,12,19431.95
305,4,26,28,1930.06
306,4,28,25,35267.42
307,5,20,29,5526.4
308,4,20,29,4287.56
309,13,3,6,37550.27
310,5,2,4,31915.86
311,3,23,23,62082.25
312,7,8,11,5964.68
313,6,15,16,2222.81
314,4,22,22,16229.92
315,1,15,16,4122.96
316,9,14,15,15108.36
317,11,22,22,33383.13
318,10,25,21,7902.28
319,12,11,7,40157.9
320,2,1,1,1621.19
321,1,10,13,4349.51
322,11,1,1,18406.98
323,12,2,5,5579.68
324,13,2,4,26574.56
325,1,15,16,103.21
326,10,18,19,8936.56
327,10,20,29,5115.36
328,14,26,28,559.58
329,6,2,5,6056.53
330,14,2,2,8210.49
331,10,3,6,40225.4
332,3,13,14,64074.49
333,7,23,23,14415.16
334,15,10,13,1829.5
335,8,1,1,17413.56
336,9,1,3,18403.13
337,6,16,17,1192.94
338,12,14,15,55718.67
339,13,22,22,26260.09
340,2,9,12,47700.17
341,2,9,12,1309.95
342,15,14,15,44127.51
343,1,30,27,66205.64
344,7,9,12,39674.29
345,13,10,13,2209.96
346,2,11,7,40041.23
347,9,27,24,22643.68
348,11,20,29,377.64
349,14,9,12,50406.39
350,7,10,13,3522.25
351,14,18,19,10295.98
352,7,26,28,2935.55
353,12,9,12,30961.95
354,11,30,27,4148.84
355,11,12,8,6822.02
356,13,20,29,4755.55
357,9,24,20,17281.67
358,8,15,16,3640.74
359,7,16,17,40158.68
360,11,30,27,49182.56
361,1,26,28,1427.21
362,8,11,7,12761.01
363,3,21,30,62600.12
364,13,11,7,20726.37
365,10,11,7,31321.51
366,10,3,6,23930.49
367,3,22,22,16203.16
368,1,2,4,12205.51
369,15,21,30,28655.25
370,13,9,12,51603.18
371,15,15,16,95.64
372,4,25,21,36051.14
373,2,25,21,28242.07
374,1,30,27,39874.0
375,15,10,13,664.36
376,4,21,30,57212.38
377,5,2,4,49248.15
378,10,14,15,45656.29
379,15,24,20,25448.44
380,6,12,8,22394.27
381,10,14,15,51743.81
382,7,14,15,1660.94
383,3,3,6,11946.75
384,5,3,6,2072.57
385,13,12,8,16804.55
386,4,7,10,2252.83
387,3,22,22,26742.3
388,11,1,3,50415.81
389,12,11,7,22747.96
390,6,16,17,30671.12
391,7,14,15,71545.05
392,15,29,26,8021.11
393,15,8,11,11114.82
394,2,2,2,36083.74
395,12,12,8,10139.64
396,4,15,16,2742.78
397,9,17,18,11897.27
398,5,18,19,6171.46
399,9,16,17,53933.62
400,14,14,15,65045.99
401,3,1,3,30420.13
402,2,25,21,44256.87
403,2,27,24,537.71
404,6,16,17,2504.21
405,15,10,13,3627.49
406,12,27,24,24715.91
407,10,13,14,4979.88
408,9,21,30,13005.03
409,12,2,2,39271.22
410,13,13,14,78087.22
411,3,29,26,6188.35
412,14,17,18,19265.14
413,6,1,1,3273.07
414,6,29,26,3665.25
415,14,1,1,10484.72
416,1,15,16,371.94
417,12,17,18,6808.29
418,2,2,5,10094.83
419,15,29,26,16472.5
420,11,12,8,6641.33
421,13,25,21,25746.35
422,12,25,21,26296.63
423,12,7,10,5931.35
424,6,2,4,22261.27
425,7,18,19,6137.45
426,2,8,11,3478.3
427,7,3,6,47885.5
428,7,23,23,41512.22
429,7,13,14,3533.49
430,13,7,10,738.09
431,10,14,15,30550.5
432,13,10,13,7872.66
433,4,29,26,8825.61
434,7,22,22,25863.26
435,7,2,2,25175.94
436,13,8,11,5151.18
437,10,8,11,5714.43
438,8,22,22,9094.45
439,1,10,13,5959.03
440,5,16,17,5923.84
441,14,2,2,20154.94
442,11,12,8,26226.12
443,10,21,30,45160.14
444,10,15,16,491.36
445,11,2,5,4264.1
446,2,25,21,59539.78
447,8,6,9,6418.48
448,9,22,22,9234.53
449,3,11,7,6117.95
